DatasetName	SSA_SMA	HEL_LEL	MCS_SCS	MG_IES	OMIM_IES	UNIPROT_IES	BioGRID_IES	Reactomepathway_IES	IntAct_IES
15236405	null	17.0	18.0	null	null	17.0	null	null	null
9654205	null	null	null	null	null	17.0	null	null	null
16442593	null	null	18.0	null	null	null	null	null	null
9630231	null	null	null	null	null	17.0	10.0	10.0	null
17611710	null	null	18.0	null	null	null	null	null	null
29092958	null	null	18.0	null	null	17.0	null	null	null
20418187	null	null	18.0	19.0	null	17.0	null	null	null
9272717	null	17.0	18.0	null	null	17.0	null	null	null
27305979	null	null	null	19.0	19.0	17.0	null	null	null
12187431	null	17.0	18.0	null	null	17.0	null	null	null
22014889	null	17.0	18.0	null	null	17.0	null	null	null
15070683	null	null	18.0	null	null	17.0	null	null	null
19361779	12.470435285657961	11.274233819348781	null	19.0	19.0	null	null	null	null
26472283	null	null	18.0	null	null	null	null	null	null
25893599	11.777288105098016	null	null	null	19.0	17.0	null	null	null
9188994	null	null	null	null	null	17.0	null	null	null
15079010	null	null	18.0	null	null	17.0	null	null	null
20815031	null	null	18.0	19.0	null	17.0	null	null	null
16200213	null	null	18.0	null	19.0	null	null	null	null
16200211	null	10.868768711240618	null	null	null	null	null	null	null
10413423	null	null	18.0	null	null	17.0	null	null	null
19287378	null	null	18.0	null	null	null	null	null	null
17694057	18.0	null	18.0	19.0	19.0	13.640579232427871	null	null	null
8630491	null	null	18.0	null	19.0	17.0	null	null	null
20046000	null	null	null	19.0	19.0	17.0	null	null	null
21421568	null	17.0	18.0	19.0	19.0	17.0	null	null	null
7331996	11.084140924538072	null	18.0	19.0	19.0	17.0	null	null	null
27234911	null	null	18.0	19.0	null	17.0	null	null	null
15368195	null	null	null	null	null	17.0	null	null	null
15368194	11.084140924538072	null	null	null	19.0	17.0	null	null	null
8078582	null	null	18.0	19.0	19.0	null	null	null	null
28041643	18.0	null	11.98791025242275	null	null	17.0	null	null	null
21398519	null	null	18.0	19.0	19.0	17.0	null	null	null
8078586	18.0	null	null	null	19.0	17.0	null	null	null
29604224	null	null	null	null	null	17.0	null	null	null
11368834	null	null	null	null	null	null	10.0	10.0	null
20602916	null	17.0	18.0	null	null	null	null	null	null
10942371	18.0	null	11.98791025242275	null	null	null	10.0	null	null
10521307	null	null	18.0	null	null	17.0	null	null	null
10521306	null	null	18.0	null	null	null	null	null	null
19336973	10.860997373223862	null	null	null	null	null	6.451154692986912	5.704542513661255	null
20538000	null	null	null	null	null	null	10.0	null	null
15995703	null	null	18.0	null	null	null	null	null	null
23278385	null	null	null	19.0	19.0	17.0	null	null	null
23278386	10.390993743978127	null	10.60161589130286	null	null	null	null	null	null
23254390	null	null	18.0	null	null	17.0	null	null	null
10462489	null	null	null	null	19.0	17.0	null	null	null
16537570	null	17.0	null	19.0	null	17.0	null	null	null
26278069	null	null	18.0	null	null	17.0	null	null	null
19263482	null	17.0	18.0	19.0	19.0	17.0	null	null	null
22132097	null	null	null	null	null	17.0	null	null	null
26340334	null	null	18.0	null	null	null	null	null	null
26340333	null	null	null	null	null	17.0	null	null	null
30139988	18.0	null	18.0	19.0	19.0	17.0	null	null	null
12224825	18.0	null	null	null	null	null	null	null	null
