SSA_SMA	HEL_LEL	MCS_SCS	MG_IES	OMIM_IES	UNIPROT_IES	OMIM_CDS	UNIPROT_CDS	BioGRID_IES	Reactomepathway_IES	IntAct_IES
C0221169		C2678312	C4551967	C0422854	C4746975	C0600066	C0600066			
C4310811		C1969057	C1854023	C0422853	C1833809	C1842914	C1842914			
C4014821		C3889474	C3810403	C0422852	C4014354	C0268647	C0268647			
C0432072		C4310804	C1846784	C0422850	C1859567	C1859301	C1859301			
C0041671		C1851504	C0403720	C0406557	C2751290	C0006870	C0006870			
C0038220		C2751088	C0796237	C1832828	C1838163	C2750850	C2750850			
C0852413		C1960459	C0268581	C0399367	C3151088	C0699739	C0699739			
C1838062		C3714932	C4014780	C0037769	C1859877	C0432347	C0432347			
C0549225		C2676771	C0265234	C0026650	C1834569	C0006868	C0006868			
C3151097		C1853445	C1864843	C4539857	C0265700	C0030524	C0030524			
C4225282		C0238052	C1834207	C3150354	C3714934	C0598226	C0598226			
C3280296		C0334580	C0340834	C0020497	C3810313	C0011993	C0011993			
C1851549		C0334581	C0268125	C0340427	C4748708	C0268124	C0268124			
C4225383		C0334582	C3279756	C4310692	C4539881	C3150989	C3150989			
C4551477		C0600272	C4225426	C3150796	C3276549	C0027709	C0027709			
C1843013		C0345408	C0268465	C0265275	C3275684	C0751337	C0751337			
C1846546		C2675750	C0878676	C4317124	C3554638	C0007787	C0007787			
C1843181		C0334579	C0341306	C4014430	C2931746	C0035243	C0035243			
C1970344		C1835662	C1849700	C0576612	C0268548	C0003621	C0003621			
C1865864		C4283894	C4015119	C4015316	C4721436	C1836206	C1836206			
C4551679		C0334583	C3809165	C4225276	C0268448	C0344482	C0344482			
C0162323		C0002949	C0240912	C0015397	C0032463	C0267662	C0267662			
C1835437		C4748725	C0455990	C0265234	C3553636	C1847627	C1847627			
C3469527		C1848552	C4225290	C0878544	C3280974	C4310709	C4310709			
C3469526		C0342683	C1843292	C0342384	C4727877	C3468114	C3468114			
C0348890		C0346300	C0271695	C4551720	C3279885	C1565886	C1565886			
C1866176		C0334590	C0342336	C0265233	C2931196	C1565885	C1565885			
C3469521		C1567741	C4015349	C0422854	C4707880	C3553247	C3553247			
C1956410		C0438414	C1853276	C0422853	C1864852	C3810080	C3810080			
C1956411		C0030214	C0399373	C0422852	C4748120	C0150055	C0150055			
C1956412		C0023212	C3549862	C0751496	C0751406	C0851140	C0851140			
C1956413		C0024301	C1306837	C0751495	C4225384	C0852077	C0852077			
C4014538		C0268118	C2931205	C0431399	C2749757	C0398650	C0398650			
C3276539		C3888065	C0342765	C0422850	C0751249	C1849762	C1849762			
C3151441		C0018794	C3549860	C0751494	C3275998	C0393576	C0393576			
C0342277		C4693391	C3549861	C2931891	C1833053	C0037050	C0037050			
C0032326		C0265339	C4755264	C0001430	C3553989	C4014780	C4014780			
C0343055		C3809781	C0395941	C3150733	C1846862	C1864843	C1864843			
C0349255		C1850343	C1857829	C3541471	C1835817	C0007760	C0007760			
C4015596		C0033805	C4310943	C4479313	C0268379	C0302246	C0302246			
C0268490		C4303475	C4225180	C0265219	C3808115	C1836122	C1836122			
C0268487		C2931781	C2931132	C0265224	C1835047	C4552002	C4552002			
C0268483		C1855109	C0009375	C1868672	C0268353	C4013764	C4013764			
C0008489		C0151468	C1969639	C0422855	C4540389	C3806174	C3806174			
C3279941		C3809965	C3148959	C0751110	C0265223	C2880562	C2880562			
C3900122		C4014528	C3888090	C3554409	C0751252	C0002991	C0002991			
C3554224		C4554406	C1832931	C1449843	C1864623	C1837028	C1837028			
C3554225		C4048705	C0553586	C0796033	C0751250	C0399373	C0399373			
C1970236		C3150987	C0032027	C1449843	C0751251	C3549862	C3549862			
C2931013		C2677549	C2713368	C3714756	C3887525	C3549860	C3549860			
C3280795		C1969562	C0259771	C0494463	C1835171	C3549861	C3549861			
C1292772		C1835492	C1970298	C0877848	C4747940	C1306710	C1306710			
C3280785		C1708350	C0221036	C0349204	C1857780	C4755264	C4755264			
C3280271		C4225335	C4015542	C0015398	C0271694	C0395941	C0395941			
C3280970		C0175692	C0877024	C0085758	C0238395	C3281138	C3281138			
C1855923		C0432221	C1863512	C4082305	C1838656	C0178824	C0178824			
C0035222		C0152200	C0268228	C0403396	C2676024	C0542428	C0542428			
C3551954		C0022410	C0268226	C0162809	C1839780	C3888090	C3888090			
C1837756		C3150970	C0002896	C0751748	C2676023	C4310721	C4310721			
C2675511		C4747974	C1970199	C0751747	C1837471	C2677792	C2677792			
C2931253		C3150971	C2677792	C0752166	C4014578	C1563709	C1563709			
C0154682		C1859198	C0410190	C0027746	C2959886	C3538946	C3538946			
C0154681		C1838100	C0574083	C1862382	C4551527	C4014987	C4014987			
C0751335		C0333704	C0432194	C3808981	C2678408	C3887633	C3887633			
C0751334		C1856603	C1845530	C0796250	C1857779	C0334287	C0334287			
C0333768		C1855100	C0018609	C3810242	C3150596	C0796184	C0796184			
C1847725		C4540171	C2931004	C0268194	C0220687	C4748545	C4748545			
C1843807		C1836295	C4540496	C3280346	C0400966	C0175703	C0175703			
C0271567		C1527338	C0410189	C1862178	C3553735	C0030846	C0030846			
C0025309		C1855705	C3279470	C0751111	C3809233	C0085681	C0085681			
C0037140		C0342642	C3888244	C2673759	C4747646	C4310678	C4310678			
C3550904		C0699743	C1838564	C1838329	C3539195	C0018378	C0018378			
C0001231		C0009917	C4225387	C0369183	C1837014	C4478372	C4478372			
C0003868		C1859520	C3150972	C0149958	C1847667	C4310682	C4310682			
C3151071		C1843512	C1275685	C0018817	C1578917	C0013364	C0013364			
C0037928		C3554446	C1861732	C1833503	C3280265	C0265610	C0265610			
C3150877		C1855483	C1852092	C1449843	C2931893	C4225171	C4225171			
C1858556		C2700425	C0238033	C0035334	C4310712	C3150914	C3150914			
C0152266		C0242788	C0020534	C4225578	C3808414	C0410226	C0410226			
C2675212		C1865020	C3151201	C1865185	C1837091	C0702166	C0702166			
C0152267		C1866078	C1859062	C0699739	C4015701	C3280556	C3280556			
C0035579		C1865018	C4748545	C2752061	C0002897	C2749650	C2749650			
C0472387		C1848533	C4693347	C4540020	C0524582	C1832841	C1832841			
C0472388		C1864900	C0175703	C0553586	C1853099	C2750325	C2750325			
C0029294		C1847089	C0271185	C0265215	C1859486	C0023092	C0023092			
C0268611		C0268398	C1847823	C3151000	C0496956	C0023281	C0023281			
C1850554		C4015357	C1861863	C0796244	C4310669	C4310935	C4310935			
C1850555		C4748946	C0238801	C1842342	C2749864	C3853779	C3853779			
C3502809		C0206711	C4225272	C1261502	C0271574	C0035619	C0035619			
C0035204		C3554079	C0206663	C0751123	C3888004	C1298692	C1298692			
C1854154		C1859565	C0751436	C0751263	C3150967	C0949496	C0949496			
C4551503		C0220744	C0751435	C0751262	C3809352	C0017332	C0017332			
C0086666		C1832425	C3809526	C0917816	C3150969	C4310801	C4310801			
C3161105		C0410180	C1970879	C1389273	C4225413	C4521678	C4521678			
C3540852		C3150990	C4225268	C0007959	C3553748	C3277671	C3277671			
C0155536		C0520731	C4310678	C0018995	C2931645	C0011859	C0011859			
C1846385		C2931672	C4225419	C1846648	C0220766	C4540493	C4540493			
C4551824		C3150889	C4310682	C1851996	C2940786	C1527306	C1527306			
C0024439		C1832736	C2931817	C1868684	C3541462	C4042891	C4042891			
C1865322		C3150923	C1866507	C1843891	C1865614	C0002768	C0002768			
C0155359		C1859040	C3280442	C0205697	C3494522	C0432255	C0432255			
C1833662		C3809950	C3808977	C0205696	C1857747	C1527366	C1527366			
C3553549		C0027947	C4551959	C0205699	C3539120	C4552089	C4552089			
C0566602		C3661485	C0025990	C0023895	C4539985	C1279412	C1279412			
C4317339		C0152109	C2936406	C0205698	C1330966	C3150891	C3150891			
C3711381		C3714927	C0520966	C2930619	C0543858	C1628319	C1628319			
C4015360		C0086651	C4225171	C0272327	C4225405	C3150692	C3150692			
C2751288		C1969783	C3150914	C2930618	C4551647	C0039231	C0039231			
C2751584		C4748657	C1856058	C4747517	C1318558	C4015728	C4015728			
C1860315		C0265253	C4310718	C2930618	C3150912	C4015342	C4015342			
C4310645		C1836460	C4310803	C2930619	C0271708	C2674665	C2674665			
C4316788		C0342257	C3280042	C0009917	C0271710	C4225302	C4225302			
C0086774		C0265279	C3468041	C1850599	C0001430	C3280452	C3280452			
C3554534		C1866095	C1800706	C1855840	C4551483	C0334464	C0334464			
C3715049		C1720957	C4722488	C1850598	C4748752	C1839130	C1839130			
C0027059		C1855627	C4310757	C1850597	C1970431	C1840529	C1840529			
C0021361		C1969342	C3280556	C4225341	C1853995	C0037650	C0037650			
C1842983		C1969343	C1837915	C0752347	C4225230	C2746069	C2746069			
C4310772		C1838333	C1969621	C1260899	C1968602	C0334454	C0334454			
C0730290		C1867005	C4310625	C1832992	C0011847	C0750968	C0750968			
C1857034		C4085252	C3489796	C4317124	C3553354	C1853736	C1853736			
C0857007		C2751481	C3809006	C2751532	C1563718	C0086774	C0086774			
C1848137		C0085682	C4014954	C4748838	C2676231	C1843156	C1843156			
C1863616		C3150878	C3809007	C1839874	C4225273	C4310707	C4310707			
C0017181		C1853144	C1846055	C2673635	C3539495	C0432357	C0432357			
C1855995		C0271742	C4310697	C3853041	C3150807	C0042138	C0042138			
C0027888		C1842062	C1836683	C4479620	C0015624	C4539772	C4539772			
C0030286		C3150343	C3549447	C1835677	C3151064	C0431890	C0431890			
C2752072		C3540850	C3809650	C0751651	C1970848	C3275495	C3275495			
C0206669		C0262584	C4552001	C1857802	C3151265	C0750887	C0750887			
C4554120		C1859807	C2675192	C0022521	C1328349	C4310677	C3554127			
C0023434		C4551772	C4748786	C0152427	C0393814	C3554127	C4310677			
C0398593		C0265216	C1842124	C0278211	C0004712	C1859995	C1859995			
C0265275		C3808844	C1859298	C0079504	C4225380	C1853507	C1853507			
C3151403		C3150803	C4310935	C3645536	C3179194	C1842036	C1842036			
C0268155		C4282398	C3146244	C4551512	C2931418	C1843140	C1843140			
C0268151		C4085873	C3501848	C4551720	C4225217	C4310641	C4310641			
C1861828		C4014767	C1706004	C1399226	C0393695	C3280062	C3280062			
C0341934		C0599973	C1848534	C0026654	C2673648	C0041207	C0041207			
C1836602		C1858535	C1868512	C1399226	C0152455	C4310680	C4310680			
C0030443		C0432219	C1704981	C2931498	C4310805	C1865643	C1865643			
C0936273		C2678473	C3279743	C0205713	C1834570	C1853251	C1853251			
C2676767		C0431108	C0206743	C0271694	C0428791	C0270984	C0270984			
C3151519		C4021790	C3275406	C1955869	C3151784	C0015951	C0015951			
C3151227		C4692625	C0452138	C0025363	C4225373	C0040128	C0040128			
C0018522		C4310628	C3280887	C4014831	C1857744	C4748070	C4748070			
C2675860		C3469528	C0085786	C3805375	C4225371	C4282179	C4282179			
C0268146		C3280112	C1458140	C4551568	C1959582	C3808802	C3808802			
C0268596		C3151617	C0027877	C0497552	C4225374	C1867299	C1867299			
C0024312		C1849508	C3554593	C4721541	C4225370	C4310672	C4310672			
C0751226		C0032019	C3665704	C0152423	C4225372	C0027697	C0027697			
C1866294		C0265281	C2750442	C0558847	C2675459	C0010674	C0010674			
C0342288		C0220993	C1837355	C0558846	C1858392	C1868120	C1868120			
C2750090		C0265280	C2750850	C0558845	C4225369	C1868111	C1868111			
C4755276		C4748873	C0393807	C0152427	C2751319	C3539507	C3539507			
C3550693		C3808667	C0268342	C3150127	C1969443	C1844376	C1844376			
C4551683		C1858379	C4310801	C0973461	C0026709	C1864869	C1864869			
C3810012		C4310750		C2752007	C0031900	C1838654	C1838654			
C1390474		C1275122		C3150808	C3553676	C1861313	C1861313			
C3151107		C3552236		C3553830	C1858380	C3888088	C3888088			
C0020500		C0032000		C0025363	C3151209	C1301355	C1301355			
C0751617		C0265205		C1963184	C1863093	C0085280	C0085280			
C3280146		C4693535		C0239946	C1846574	C4048196	C4048196			
C0039584		C0266432		C1845151	C4707155	C4479517	C4479517			
C0014805		C3280358		C0231341	C4551562	C2316212	C2316212			
C0751868		C0410538		C4225247	C0477317	C3146244	C3146244			
C0027854		C3280283		C0025363	C0685889	C4225416	C4225416			
C0003838		C0259785		C0025363	C4053736	C0334660	C0334660			
C0038219		C1837429		C3554247	C4015186	C0272302	C0272302			
C0040332		C0235000		C0242423	C2750471	C0268523	C0268523			
C0751869		C1865014		C0917816	C0031036	C4539927	C4539927			
C4511136		C1865017		C1858593	C1868193	C1868678	C1868678			
C4551950		C0008533		C0242422	C4225361	C0001883	C0001883			
C3551173		C0393699		C3553529	C2676466	C4539937	C4539937			
C0342749		C0393698		C0497552	C1836727	C0549307	C0549307			
C1833030		C0020074		C0206655	C0751120	C0451641	C0451641			
C0034050		C4014925		C0027341	C3554449	C0242497	C0242497			
C3887658		C2675235		C0751359	C1321905	C0024954	C0024954			
C4310784		C2675237		C0751358	C4310670	C4310639	C4310639			
C0017925		C1842691		C0020796	C0342883	C0521761	C0521761			
C0017924		C0265220		C2940786	C1845202	C0521760	C0521760			
C4310768		C4551968		C1567435	C1450010	C0521759	C0521759			
C1856245		C4014425		C0751265	C4014668	C0521756	C0521756			
C0162531		C1857941		C3711374	C1843896	C0162361	C0162361			
C0015923		C3151409		C1969796	C0265292	C0521757	C0521757			
C1720811		C1838263		C4225315	C3151140	C0521754	C0521754			
C2931104		C0936248		C1855052	C1846421	C0521755	C0521755			
C4540474		C1846008		C0030312	C0032002	C0521753	C0521753			
C1863688		C0033958		C0030312	C1862112	C4012395	C4012395			
C4539968		C1839566		C0087012	C4539798	C0001624	C0001624			
C3495552		C0751303		C1848599	C0751377	C0751642	C0751642			
C1849096		C0751304		C3714756	C0751378	C1864621	C1864621			
C0432284		C2675227		C0949272	C4539783	C0751643	C0751643			
C4479496		C2677086		C1266043	C4721890	C4747891	C4747891			
C4225427		C2678468		C1266044	C3541476	C1739384	C1739384			
C0917801		C3280798		C1266042	C2675491	C0005747	C0005747			
C1857750		C0521659		C1838979	C2677794	C4016144	C4016144			
C0268134		C3809482		C1850597	C3714618	C4225323	C4225323			
C2677099		C3495145		C1850599	C0151650	C1704299	C1704299			
C0796137		C2829265		C1850598	C0431664	C0162700	C0162700			
C0020595		C0016751		C3658299	C1838701	C0268344	C0268344			
C0152200		C0949331		C1399226	C0431663	C2674321	C2674321			
C1868599		C1848526		C2748542	C4751434	C0426785	C0426785			
C1868597		C0432283		C2931150	C0398738	C1836899	C1836899			
C1854594		C1854488		C4310767	C1835896	C4748978	C4748978			
C0011351		C0032927		C3714756	C0035934	C4015519	C4015519			
C0033788		C1851347		C0422850	C3892048	C0887800	C0887800			
C3542021		C4551501		C3276276	C2930833	C0036330	C0036330			
C0265552		C0017662		C1855433	C0149840	C0034535	C0034535			
C2931658		C1848172		C2750887	C2750452	C0037299	C0037299			
C4025886		C1848201		C2748861	C4748869	C1853118	C1853118			
C0410574		C2931401		C0007134	C1847501	C0152200	C0152200			
C2930997		C0151779		C0005941	C0020074	C1866558	C1866558			
C1846171		C4015323		C0035334	C4540404	C1839333	C1839333			
C1846172		C4722305		C2748542	C0020075	C1848534	C1848534			
C4479548		C1868594		C1850597	C4693466	C2750786	C2750786			
C4225333		C1609433		C0431399	C0796124	C2751493	C2751493			
C0796070		C1846174		C1850599	C0741160	C3279786	C3279786			
C0268623		C3554415		C1850598	C2675187	C4748418	C4748418			
C3541518		C0220726		C0422854	C0031485	C1867801	C1867801			
C1318518		C1832998		C0422855	C1857663	C1860861	C1860861			
C1846632		C4225253		C0422852	C4015285	C1837750	C1837750			
C0751718		C1835171		C0422853	C3552335	C4310816	C4310816			
C0751716		C2752040		C3463824	C1859148	C1834703	C1834703			
C0751717		C0079588		C0917816	C1849813	C0376532	C0376532			
C0007965		C1841679		C0158981	C0036457	C2678367	C2678367			
C1260386		C4225319		C3553270	C0002170	C4310690	C4310690			
C0016781		C0008625		C1744559	C0751667	C0814154	C0814154			
C4225300		C1865832		C0268600	C1846058	C0079218	C0079218			
C0268495		C2677190		C0751882	C0751666	C0037999	C0037999			
C1832942		C3279843		C0476089	C2750737	C2676742	C2676742			
C4554007		C1859452		C0751373	C0751665	C1849387	C1849387			
C4225364		C4015635		C1836050	C0268149	C2751938	C2751938			
C4225301		C4225161		C0751372	C0751664	C0043119	C0043119			
C2931048		C3280729		C0751371	C0751663	C0079221	C0079221			
C4225332		C4225177		C0265987	C1853926	C0238159	C0238159			
C1832174		C2745948		C1858673	C2678055	C0011847	C0011847			
C1833382		C1853230		C1858672	C0406586	C1838608	C1838608			
C4304578		C0342705		C0036572	C1861348	C1853137	C1853137			
C0936016		C1862322		C0751651	C4749506	C0079102	C0079102			
C3280371		C1862324		C4015172	C0268186	C0751175	C0751175			
C4021790		C1836861		C1832390	C0751564	C0751176	C0751176			
C4551714		C0086743		C0265699	C1840404	C0270948	C0270948			
C0342418		C4014440		C0029411	C2678061	C0026552	C0026552			
C4722564		C1450051		C0272317	C4479552	C3668940	C3668940			
C4721502		C2931010		C3553494	C0149781	C0010034	C0010034			
C0265971		C4014993		C1852282	C0751565	C1844696	C1844696			
C4748732		C2750472		C2677877	C0473575	C0086666	C0086666			
C4225377		C3554235		C0024115	C2750785	C1845543	C1845543			
C4552768		C2750081		C0432235	C3281044	C0013374	C0013374			
C4021762		C0393756		C0494475	C0030421	C3495589	C3495589			
C4303791		C1865019		C0014008	C1848201	C0043194	C0043194			
C4551549		C0260662		C0796093	C0282313	C4733331	C4733331			
C4310681		C1854335		C3551443	C0311277	C1845293	C1845293			
C3151568		C1845294		C0221356	C1847200	C2931118	C2931118			
C1853096		C0342185		C0342302	C2676235	C0086795	C0086795			
C3554078		C0265267		C3892039	C0003486	C0029928	C0029928			
C4015388		C1861455		C4551720	C1839928	C0741160	C0741160			
C2930809		C1847532		C2973725	C0027796	C3842001	C3842001			
C4225260		C1415817		C1847626	C0026267	C0015423	C0015423			
C0030360		C4310643		C0078982	C1838547	C0030922	C0030922			
C0220722		C0268448		C0022521	C1842371	C0030662	C0030662			
C1863051		C2751803		C0013421	C0751402	C1859305	C1859305			
C0010035		C4540358		C0949272	C2932678	C3151147	C3151147			
C4014557		C0282577		C4551568	C4014997	C0585362	C0585362			
C0812437		C2751842		C0431399	C1847800	C2973725	C2973725			
C3808883		C3553944		C3281235	C3149266	C0410180	C0410180			
C3888087		C3809877		C0265260	C3149265	C3550234	C3550234			
C0033375		C0333641		C0020796	C1135747	C4225258	C4225258			
C0271683		C1969038		C0272137	C1135746	C1563666	C1563666			
C4747922		C3539920		C0473935	C1135745	C0008780	C0008780			
C1970712		C2751681		C0004782	C0271829	C4539818	C4539818			
C0206656		C4693609		C4706552	C0521723	C0600177	C0600177			
C0013608		C0025221		C1858338	C0003081	C3542501	C3542501			
C1846010		C2749137		C1136249	C3554599	C1854368	C1854368			
C4748552		C4015283		C1849437	C0473219	C0003864	C0003864			
C1855369		C2751536		C0085110	C1838280	C3542026	C3542026			
C1864871		C0265289		C4317109	C1844020	C0339535	C0339535			
C1704423		C3278384		C1857276	C0043346	C3553999	C3553999			
C4014660		C4692546		C4317123	C4539997	C4310646	C4310646			
C1833236		C4014283		C0267071	C2750448	C1291560	C1291560			
C1835820		C1969029		C0267072	C4225156	C3276706	C3276706			
C1864818		C1835849		C0035304	C3150275	C0342194	C0342194			
C3554398		C2681923		C3805373	C0585540	C0398791	C0398791			
C3148751		C0473237		C0431401	C0268547	C0242707	C0242707			
C0423712		C3280155		C0004775	C0016202	C3899155	C3899155			
C0423711		C1283620		C0917816	C3149117	C3150415	C3150415			
C0265610		C0265334		C0078982	C4479481	C0034933	C0034933			
C0025268		C2677535		C3665347	C1861171	C4693663	C4693663			
C0025269		C0008479		C0340848	C0403445	C1837608	C1837608			
C0032962		C3809893		C2936858	C4551509	C4015557	C4015557			
C0393556		C0265235		C0086237	C2751642	C3489413	C3489413			
C0042847		C1853154		C3553250	C4551768	C1836517	C1836517			
C0750949		C4748127		C2751544	C3889475	C0206651	C0206651			
C3714995		C4748678		C1855663	C1868570	C4748930	C4748930			
C3280342		C3553816		C0751036	C3280378	C2930878	C2930878			
C0236969		C4049796		C4551568	C1968556	C3502809	C3502809			
C1861862		C3805278		C3714756	C1968550	C0856761	C0856761			
C0700595		C0018566		C0917816	C1846038	C2931743	C2931743			
C2751822		C0029396		C0011991	C2931461	C0023176	C0023176			
C0206042		C0206723		C4225397	C1850792	C0205824	C0205824			
C0040136		C1843315		C0022283	C1852282	C0205825	C0205825			
C2673642		C1855849		C0431399	C4225291	C3280113	C3280113			
C3841459		C1857777		C0021364	C1860339	C4048705	C4048705			
C1835084		C1836706		C0431363	C0040827	C0236811	C0236811			
C0750986		C0432214		C0040427	C1858558	C1279481	C1279481			
C0750987		C2675528		C0271623	C1857682	C1861735	C1861735			
C1849678		C3714980		C4082305	C3810295	C2931838	C2931838			
C0206655		C3809888		C0025363	C3150547	C0040485	C0040485			
C4748484		C4225280		C3806737	C3279754	C4540265	C4540265			
C1876187		C1970197		C0431362	C4551999	C3150913	C3150913			
C3809309		C0427177		C0233771	C3554381	C0393702	C0393702			
C0028860		C0043116		C0271583	C0018425	C0393703	C0393703			
C3711389		C3281066		C0270855	C4310796	C1845144	C1845144			
C1857640		C0027533		C3489724	C4538407	C0035579	C0035579			
C0039841		C3280309		C1833511	C4552765	C0750942	C0750942			
C2932716		C0019816		C3151193	C1969081	C0750953	C0750953			
C1959620		C2751843		C3489725	C3179058	C0750955	C0750955			
C0234133		C3149841		C0403812	C0155018	C1863551	C1863551			
C0752258		C0007795		C4524082	C4693616	C4015420	C4015420			
C0752257		C0920296		C4316810	C2675512	C0043207	C0043207			
C0752256		C1859252		C1857662	C2675473	C4281559	C4281559			
C0752255		C0700201		C0917816	C1968689	C3806712	C3806712			
C0752261		C2750440		C1839736	C0155016	C3150910	C3150910			
C0752260		C0427169		C1399226	C0155015	C0338586	C0338586			
C0752262		C0034155		C1275081	C3280897	C0398794	C0398794			
C1842362		C2751855		C0220748	C0917817	C1836669	C1836669			
C4540052		C2931299		C4317123	C1862472	C0236735	C0236735			
C0751172		C0268609		C4015452	C1864041	C0750992	C0750992			
C0751174		C1275114		C0271185	C3489413	C0750993	C0750993			
C0751173		C0265336		C0750887	C4747885	C0027686	C0027686			
C1327915		C0265306		C3494506	C0080178	C1848030	C1848030			
C1833247		C1857069		C1832274	C0002726	C1856895	C1856895			
C1328355		C0019348		C1833518	C4225208	C2751317	C2751317			
C4552122		C2676271		C3554453	C1858120	C0010246	C0010246			
C0432269		C0427149		C1859093	C0220743	C1837396	C1837396			
C1847572		C4016741		C1867146	C4693779	C2751812	C2751812			
C1856127		C4310735		C0265219	C1706595	C0025568	C0025568			
C4478871		C1848634		C4016905	C2676677	C1332079	C1332079			
C0037052		C1861864		C0265275	C4316789	C0040517	C0040517			
C3151753		C1861861		C3668942	C3808986	C0026697	C0026697			
C0751161		C1136210		C0002949	C2676676	C1704417	C1704417			
C1853223		C0238033		C1853202	C2676678	C1704429	C1704429			
C0003857		C1858479		C0220669	C3150678	C0751955	C0751955			
C0796028		C3539888		C0039685	C3809691	C0751953	C0751953			
C0023804		C3280644		C0268474	C0018916	C0751954	C0751954			
C1844776		C0399380		C0039685	C0238286	C0751952	C0751952			
C2713394		C1864651		C0014544	C0334529	C2936718	C2936718			
C0268140		C0399378		C4748684	C4225278	C4015597	C4015597			
C0268136		C3553841		C1834671	C1832390	C3502075	C3502075			
C1861366		C1849140		C0751257	C3151038	C0003537	C0003537			
C0268141		C3554330		C1563697	C0009676	C4538788	C4538788			
C4748658		C1865233		C1838603	C3809320	C0751088	C0751088			
C0752196		C1565489		C3694531	C1970416	C0003546	C0003546			
C0011168		C1856897		C1563696	C0334590	C0021603	C0021603			
C0282160		C1848068		C0233769	C0406778	C3810185	C3810185			
C3553859		C1848794		C4310749	C1622345	C0024145	C0024145			
C1867468		C0086652		C1853698	C1838916	C1832409	C1832409			
C3275508		C3151059		C2751306	C0860207	C1720772	C1720772			
C0270922		C4014239		C2973527	C3887645	C2936786	C2936786			
C3808739		C3553597		C1854896	C0238402	C0005426	C0005426			
C2931735		C4721509		C4551702	C0342791	C3540450	C3540450			
C2316810		C3150172		C0028326	C0268080	C0011848	C0011848			
C1846242		C4721508		C0042384	C1858915	C0796176	C0796176			
C2931758		C1848578		C0028326	C4540251	C4225386	C4225386			
C0268138		C1846689		C0015625	C1854466	C0730294	C0730294			
C4225418		C1849334		C3554129	C1838990	C4479254	C4479254			
C1140710		C1136209		C2931498	C4539848	C3489787	C3489787			
C0016045		C2750078		C0028754	C1845359	C4692564	C4692564			
C0016048		C3714844		C0015625	C3553869	C0877578	C0877578			
C3669395		C2675229		C0235574	C1837213	C0033805	C0033805			
C0392439		C3715165		C0015393	C2677092	C3150658	C3150658			
C0022738		C1846175		C4015276	C1832830	C3280906	C3280906			
C4693810		C1853116		C0013336	C4551681	C4748341	C4748341			
C2751320		C1535942		C2677326	C1832828	C3279369	C3279369			
C1956130		C2750074		C0521174	C4539857	C2931005	C2931005			
C1956131		C0406810		C1866094	C0020497	C1836472	C1836472			
C1956132		C0403554		C1968843	C4310692	C1956258	C1956258			
C3463917		C0086650		C3810363	C3150796	C0751113	C0751113			
C3809160		C4310770		C3853041	C4225276	C0751112	C0751112			
C0265354		C0085132		C0521174	C0521802	C0751115	C0751115			
C0040822		C1859305		C4310676	C1845540	C0206667	C0206667			
C2931134		C4310683		C0152171	C2749016	C0206669	C0206669			
C3711531		C4748304		C1257796	C1838348	C3280489	C3280489			
C3150876		C3550963		C0010709	C0015398	C1835912	C1835912			
C4074771		C1851481		C4225345	C0403396	C0040822	C0040822			
C4551966		C1850674		C2751608	C3808981	C3150860	C3150860			
C0271215		C0302859		C1856186	C3805410	C2930971	C2930971			
C1832525		C3809609		C4551952	C0268194	C0038450	C0038450			
C0155127		C0343495		C0265965	C3280346	C0040827	C0040827			
C3494187		C2931498		C1838612	C1833503	C4551995	C4551995			
C3494186		C4479088		C1868081	C0553586	C0751122	C0751122			
C0282527		C0019069		C1384666	C0796244	C0393695	C0393695			
C0030779		C0917713		C1846790	C0042487	C0039584	C0039584			
C2936502		C3809753		C2677504	C0017662	C4540034	C4540034			
C0039292		C1865409		C0270846	C1838429	C3806932	C3806932			
C1857587		C2020284		C0030312	C0018995	C4310673	C4310673			
C0038870		C0265245		C1257799	C1843891	C2746068	C2746068			
C0027720		C1853392		C0270844	C0272327	C0398641	C0398641			
C3695272		C3809971		C1257798	C0752347	C1846046	C1846046			
C0391816		C3714945		C1257797	C2751532	C1864987	C1864987			
C0349217		C1861063		C1868672	C1839874	C1843884	C1843884			
C0751523		C2751313		C0340493	C4540277	C3711645	C3711645			
C0018413		C3151303		C1568249	C1835677	C1855310	C1855310			
C0751522		C3280976		C3281128	C1857802	C1838103	C1838103			
C1843687		C0022387		C0025521	C1836830	C1636149	C1636149			
C0751524		C0427128		C0206686	C4014831	C0751220	C0751220			
C1318973		C4225243		C4317109	C3150127	C0393584	C0393584			
C1527384		C3280766		C0265308	C0973461	C3711384	C3711384			
C2677087		C2745959		C4746985	C0023795	C1843463	C1843463			
C4552049		C3150700		C3888631	C1845151	C3810400	C3810400			
C3151442		C2676790		C0039685	C3554247	C0456483	C0456483			
C0085106		C0268647		C1510497	C1858593	C1848138	C1848138			
C0175701		C3489628		C3809013	C3553529	C1849718	C1849718			
C4012454		C0266573		C4012790	C0027341	C0020225	C0020225			
C1834235		C4225233		C0751778	C0751359	C4225393	C4225393			
C1843542		C2676788		C0751779	C0751358	C0525041	C0525041			
C1846843		C0032897		C0751776	C0994516	C3809243	C3809243			
C1306589		C1720189		C0020796	C1869118	C0260037	C0260037			
C1832680		C2750459		C0751777	C0087012	C0021141	C0021141			
C2751805		C0546125		C1868675	C1848599	C0003875	C0003875			
C1510489		C1720821		C3150736	C0751751	C0334475	C0334475			
C1837249		C1704380		C1837218	C1855433	C2713615	C2713615			
