SSA_SMA	HEL_LEL	MCS_SCS	MG_IES	OMIM_IES	UNIPROT_IES	OMIM_CDS	UNIPROT_CDS	BioGRID_IES	Reactomepathway_IES	IntAct_IES
C0038362	C4479376	C0020075	C2931850	C3275476	C1863704	C1837008	C1837008	C0009402	C1853736	C1522378
C0233726	C1865926	C0042138	C0376634	C1691779	C4283786	C0266468	C1865926	C2931891	C0524611	C0751524
C3714873	C0949595	C1832940	C0268242	C0025363	C3463824	C1865926	C0266468	C4721893	C0280783	C0751523
C3275438	C0581883	C0010068	C1863704	C0079298	C1837008	C2931891	C2931891	C0038433	C3278155	C0751522
C0033139	C1866053	C1510586	C0268243	C1857253	C0340643	C4279912	C4279912	C4279912	C3278154	C0235874
C0520572	C0271623	C0431890	C0013261	C2931001	C1865926	C0006826	C0006826	C1701939	C0010346	C0546837
C2680446	C0009324	C2931246	C3463824	C3715156	C0339527	C4083212	C4083212	C4721507	C4015537	C0003865
C0020564	C0004352	C1855710	C0494261	C0014544	C2931891	C4053775	C4053775	C1384408	C0751111	C2931822
C0022661	C0023806	C1856309	C0752125	C2931459	C4721893	C0344490	C0344490	C0746787	C0003873	C1168401
C0021368	C2931322	C3658299	C0752124	C3279840	C1261473	C4721507	C4721507	C1384406	C0041696	C0079744
C1852510	C0279702	C3275495	C0752123	C0917816	C0038433	C1843687	C1843687	C0036341	C4551595	C0036920
C1507149	C1840529	C0085413	C0752122	C3645536	C0038644	C0034013	C0034013	C0149925	C0600520	C1961099
C1837342	C0009952	C0021390	C0752121	C0014859	C3266898	C3463824	C3463824	C4551472	C0280785	C0038454
C1839264	C1837315	C0013170	C1837008	C3150891	C1851920	C0751303	C0751303	C0750887	C0023493	C0751569
C2931011	C0205644	C0033139	C0752120	C0376634	C3280452	C0751304	C0751304	C0038356	C3714758	C0345904
C3853041	C0205643	C0520572	C0079154	C4303860	C0543859	C0087086	C0087086	C0007097	C0026998	C0205969
C0024115	C3489529	C2680446	C3150546	C2267233	C1701939	C0024623	C0024623	C1837315	C0013221	C2931038
C0678202	C0205642	C1535926	C4479376	C3150207	C0344490	C0038325	C0038325	C0087086	C0149504	C4540474
C0242380	C0266539	C0024121	C0339527	C0086237	C1840529	C1857586	C1857586	C0086743	C0037286	C1261473
C0265219	C0205641	C1514428	C1866053	C0340427	C1843687	C4277690	C4277690	C0020796	C0024141	C0025363
C0242379	C0205645	C3554127	C4721893	C1845050	C0025202	C0014175	C0014175	C1879321	C1855710	C0038220
C0345904	C1708349	C4310677	C1261473	C3280526	C0750887	C0013384	C0013384	C0027708	C0009171	C0007131
C1857586	C2931850	C0345967	C0002874	C0023931	C0033578	C4310779	C4310779	C0014175	C0004238	C0022783
C0020538	C0345905	C1852510	C1864912	C4310708	C0038356	C1527404	C1527404	C0600519	C0022548	C0205945
C0013069	C0040761	C1857252	C4225302	C0432235	C0152426	C0752120	C0752120	C1527404	C3658299	C0205944
C0809983	C0016508	C0035372	C3266898	C0019202	C1834558	C0752121	C0752121	C1853736	C0087031	C0393734
C1862511	C1879321	C0750901	C0004352	C3810384	C1837315	C0752122	C0752122	C0524611	C0013170	C0079774
C0024117	C0025500	C1837342	C1384666	C3809042	C4721532	C0086404	C0086404	C0751364	C0005586	C0040100
C0036690	C1864721	C1839264	C0017980	C3150692	C0036572	C0752123	C0752123	C0751365	C0023895	C0993582
C0026769	C4225287	C0750900	C1851920	C1970479	C4721769	C0038644	C0038644	C0280783	C0022661	C0431380
C0011581	C0342907	C1879321	C2750787	C0751830	C1857586	C0019193	C0019193	C3278155	C1514428	C0848676
C1136382	C1853761	C1399226	C1839130	C0015625	C0040761	C0752124	C0752124	C3278154	C0345967	C0021364
C1858991	C0019209	C0002736	C0013421	C0751832	C0020796	C0752125	C0752125	C4015537	C0006663	C0917731
C0015397	C0015397	C1842036	C1840529	C0751831	C1879321	C0020578	C0020578	C0751111	C3830362	C0270823
C0015695	C0023012	C2931011	C3809209	C0424605	C0027708	C0023012	C0023012	C3179349	C0750901	C0262584
C0347869	C0751364	C1843140	C0017919	C4015728	C3711374	C0795917	C0795917	C0003873	C1839264	C1266101
C0349204	C0751365	C0678202	C0268362	C0751111	C0021390	C4225251	C4225251	C0041696	C0750900	C4014425
C0024121	C0023014	C4693941	C1834558	C0027708	C1864721	C0023014	C0023014	C4551595	C1879321	C1955861
C0011570	C0036572	C0242380	C1837315	C3714756	C1864720	C0748540	C0748540	C0600520	C0038325	C1955860
C0038356	C4721509	C0265219	C3489529	C0152423	C0008073	C3711374	C3711374	C1292769	C2931011	C0023903
C1839454	C0023903	C0013421	C0268542	C3661525	C1853761	C0014170	C0014170	C0280785	C0025193	C3714873
C0238281	C0013421	C0242379	C1857586	C4540367	C1527404	C0030781	C0030781	C0023493	C0023212	C0263859
C0752251	C4721508	C0033860	C0016508	C0339546	C4317124	C4015537	C4015537	C3714758	C0025363	C1140680
C0752252	C0376634	C0018199	C0025500	C0030312	C4225251	C0036220	C0036220	C0008370	C0678202	C0039981
C0004782	C0751111	C0004352	C3150899	C0014544	C1853736	C0458247	C0458247	C0026998	C0086565	C4540470
C4479416	C0024141	C1865643	C0751651	C4505436	C4225304	C0751111	C0751111	C1334261	C0265219	C0007621
C0086873	C4225229	C4277690	C3711374	C0751829	C3278155	C1292769	C1292769	C0013221	C0009402	C0917798
C0011860	C1855675	C0026764	C1864721	C1563705	C3278154	C0149925	C0149925	C0010068	C0269102	C0971858
