NetworkName	datasets	LLS
MCS_SCS	11476841	18.0
MCS_SCS	27821430	18.0
MCS_SCS	4627454	18.0
MCS_SCS	20226046	18.0
MCS_SCS	15284109	18.0
MCS_SCS	23855588	18.0
MCS_SCS	10896705	8.096089954312124
MCS_SCS	25759380	18.0
MCS_SCS	16684832	18.0
MCS_SCS	11437164	18.0
MCS_SCS	22952853	18.0
MCS_SCS	28807008	18.0
MCS_SCS	10944848	18.0
MCS_SCS	22614657	12.393375360530914
MCS_SCS	24844686	18.0
MCS_SCS	29400105	18.0
MCS_SCS	12031592	18.0
MCS_SCS	9834305	18.0
MCS_SCS	9799458	11.98791025242275
MCS_SCS	28327087	18.0
MCS_SCS	11741928	18.0
MCS_SCS	22350545	18.0
MCS_SCS	19659471	18.0
MCS_SCS	13835167	18.0
MCS_SCS	26244500	18.0
MCS_SCS	25124994	18.0
MCS_SCS	11726306	18.0
MCS_SCS	15563885	18.0
MCS_SCS	8943583	18.0
MCS_SCS	17682058	18.0
MCS_SCS	249900	18.0
MCS_SCS	9271483	18.0
MCS_SCS	22134833	18.0
MCS_SCS	25173926	18.0
MCS_SCS	20132483	18.0
MCS_SCS	16607084	18.0
MCS_SCS	11389087	18.0
MCS_SCS	26691988	12.681057432982694
MCS_SCS	21567929	18.0
MCS_SCS	12032886	18.0
MCS_SCS	12356829	18.0
MCS_SCS	12234283	18.0
MCS_SCS	22096025	18.0
MCS_SCS	15792865	18.0
MCS_SCS	1881905	18.0
MCS_SCS	23229545	18.0
MCS_SCS	23913004	12.681057432982694
MCS_SCS	28884888	18.0
MCS_SCS	28884889	18.0
MCS_SCS	28726809	18.0
MCS_SCS	24604904	18.0
MCS_SCS	7641356	18.0
MCS_SCS	21242781	18.0
MCS_SCS	16417554	18.0
MCS_SCS	27759048	18.0
MCS_SCS	8461023	18.0
MCS_SCS	31598953	18.0
MCS_SCS	14715275	18.0
MCS_SCS	9101438	18.0
MCS_SCS	15792871	18.0
MCS_SCS	10835643	18.0
MCS_SCS	20709904	18.0
MCS_SCS	11174330	18.0
MCS_SCS	17213338	18.0
MCS_SCS	14729840	18.0
MCS_SCS	10835640	18.0
MCS_SCS	10210708	18.0
MCS_SCS	12081993	18.0
MCS_SCS	21543982	11.98791025242275
MCS_SCS	24111713	18.0
MCS_SCS	23518715	18.0
MCS_SCS	8306954	18.0
MCS_SCS	1363780	18.0
MCS_SCS	8486357	11.98791025242275
MCS_SCS	12393807	18.0
MCS_SCS	27858739	18.0
MCS_SCS	27798625	9.908468710742914
MCS_SCS	25772295	18.0
MCS_SCS	20635188	18.0
MCS_SCS	10617473	18.0
MCS_SCS	12393809	18.0
MCS_SCS	20686772	18.0
MCS_SCS	17309654	18.0
MCS_SCS	17309651	18.0
MCS_SCS	20170711	18.0
MCS_SCS	14729850	18.0
MCS_SCS	20505825	18.0
MCS_SCS	17034777	18.0
MCS_SCS	22565294	18.0
MCS_SCS	25615530	18.0
MCS_SCS	24280688	18.0
MCS_SCS	10835629	18.0
MCS_SCS	10835628	18.0
MCS_SCS	23242530	18.0
MCS_SCS	23674175	18.0
MCS_SCS	28389307	18.0
MCS_SCS	1373122	18.0
MCS_SCS	21987686	18.0
MCS_SCS	25808784	18.0
MCS_SCS	15563892	18.0
MCS_SCS	31752325	11.582445144314585
MCS_SCS	19105189	18.0
MCS_SCS	17564961	18.0
MCS_SCS	3038528	18.0
MCS_SCS	19105186	18.0
MCS_SCS	29703962	18.0
MCS_SCS	22745173	18.0
MCS_SCS	15851849	18.0
MCS_SCS	11704930	18.0
MCS_SCS	23374346	18.0
MCS_SCS	7904210	18.0
MCS_SCS	9004143	18.0
MCS_SCS	29980628	18.0
MCS_SCS	7679906	18.0
MCS_SCS	19011631	11.98791025242275
MCS_SCS	11176968	18.0
MCS_SCS	16873062	18.0
MCS_SCS	28631893	18.0
MCS_SCS	7906866	18.0
MCS_SCS	17034757	18.0
MCS_SCS	23963447	18.0
MCS_SCS	16443854	18.0
MCS_SCS	19634183	18.0
MCS_SCS	17564972	18.0
MCS_SCS	23242558	18.0
MCS_SCS	17564970	18.0
MCS_SCS	27595995	18.0
MCS_SCS	26004889	18.0
MCS_SCS	24026681	18.0
MCS_SCS	23758435	18.0
MCS_SCS	20374732	11.98791025242275
MCS_SCS	19000991	11.294763071862805
MCS_SCS	10691414	18.0
MCS_SCS	16116421	18.0
MCS_SCS	25544560	18.0
MCS_SCS	8304336	18.0
MCS_SCS	8304337	18.0
MCS_SCS	21613607	10.60161589130286
MCS_SCS	15142986	18.0
MCS_SCS	16298482	18.0
MCS_SCS	25701956	13.166565248764396
MCS_SCS	26123491	18.0
MCS_SCS	15477465	18.0
MCS_SCS	9499424	18.0
MCS_SCS	9570196	18.0
MCS_SCS	20034096	18.0
MCS_SCS	26159420	18.0
MCS_SCS	11030413	18.0
MCS_SCS	16635921	18.0
MCS_SCS	22292843	18.0
MCS_SCS	11738358	18.0
MCS_SCS	1314846	18.0
MCS_SCS	11738357	18.0
MCS_SCS	18779414	18.0
MCS_SCS	18923524	18.0
MCS_SCS	10102714	18.0
MCS_SCS	25185984	18.0
MCS_SCS	10835625	18.0
MCS_SCS	8596935	18.0
MCS_SCS	24700880	18.0
MCS_SCS	12091371	18.0
MCS_SCS	19731236	18.0
MCS_SCS	27966542	18.0
MCS_SCS	12702166	18.0
MCS_SCS	23026888	18.0
MCS_SCS	10666427	18.0
